account_id,customer_id,account_type,opened_at
ACC-00001,CUST-01216,checking,2024-03-22
ACC-00002,CUST-02883,credit_card,2024-04-20
ACC-00003,CUST-02090,checking,2024-02-17
ACC-00004,CUST-02834,credit_card,2024-07-03
ACC-00005,CUST-03304,checking,2024-12-02
ACC-00006,CUST-04839,credit_card,2024-09-11
ACC-00007,CUST-03229,checking,2024-04-26
ACC-00008,CUST-02588,credit_card,2024-05-18
ACC-00009,CUST-02689,credit_card,2024-04-18
ACC-00010,CUST-00773,savings,2024-02-27
ACC-00011,CUST-02822,checking,2024-07-14
ACC-00012,CUST-04709,checking,2024-02-21
ACC-00013,CUST-01188,credit_card,2024-02-10
ACC-00014,CUST-03104,credit_card,2024-09-02
ACC-00015,CUST-04965,credit_card,2024-02-08
ACC-00016,CUST-03682,checking,2024-03-21
ACC-00017,CUST-01077,checking,2024-10-16
ACC-00018,CUST-03861,checking,2024-07-15
ACC-00019,CUST-00619,credit_card,2024-02-20
ACC-00020,CUST-01944,savings,2024-07-27
ACC-00021,CUST-02357,credit_card,2024-01-21
ACC-00022,CUST-01029,credit_card,2024-09-10
ACC-00023,CUST-04413,checking,2024-07-27
ACC-00024,CUST-02603,credit_card,2024-09-01
ACC-00025,CUST-04616,checking,2024-12-24
ACC-00026,CUST-02110,credit_card,2024-02-17
ACC-00027,CUST-00398,savings,2024-02-20
ACC-00028,CUST-01455,savings,2024-01-08
ACC-00029,CUST-03311,checking,2024-03-08
ACC-00030,CUST-02221,savings,2024-05-09
ACC-00031,CUST-03732,checking,2024-05-14
ACC-00032,CUST-04135,savings,2024-08-12
ACC-00033,CUST-04102,checking,2024-02-18
ACC-00034,CUST-02403,checking,2024-05-23
ACC-00035,CUST-04995,checking,2024-11-15
ACC-00036,CUST-03770,credit_card,2024-10-11
ACC-00037,CUST-01294,credit_card,2024-06-26
ACC-00038,CUST-03167,checking,2024-12-16
ACC-00039,CUST-03694,checking,2024-05-13
ACC-00040,CUST-00554,savings,2024-09-03
ACC-00041,CUST-00578,checking,2024-07-18
ACC-00042,CUST-01621,savings,2024-01-20
ACC-00043,CUST-01798,checking,2024-08-05
ACC-00044,CUST-00179,savings,2024-03-05
ACC-00045,CUST-00173,credit_card,2024-05-27
ACC-00046,CUST-01762,checking,2024-09-28
ACC-00047,CUST-02607,savings,2024-11-12
ACC-00048,CUST-00331,savings,2024-05-13
ACC-00049,CUST-03128,savings,2024-07-23
ACC-00050,CUST-03001,checking,2024-06-10
ACC-00051,CUST-01573,savings,2024-06-03
ACC-00052,CUST-02662,checking,2024-09-25
ACC-00053,CUST-03058,credit_card,2024-06-07
ACC-00054,CUST-03138,checking,2024-07-09
ACC-00055,CUST-04273,checking,2024-02-22
ACC-00056,CUST-02615,checking,2024-08-26
ACC-00057,CUST-04231,checking,2024-10-27
ACC-00058,CUST-00764,credit_card,2024-01-25
ACC-00059,CUST-00218,savings,2024-11-08
ACC-00060,CUST-00187,credit_card,2024-03-06
ACC-00061,CUST-00005,credit_card,2024-07-20
ACC-00062,CUST-04201,credit_card,2024-12-22
ACC-00063,CUST-02165,credit_card,2024-08-18
ACC-00064,CUST-03427,credit_card,2024-09-12
ACC-00065,CUST-04983,credit_card,2024-07-11
ACC-00066,CUST-04248,credit_card,2024-01-22
ACC-00067,CUST-01998,checking,2024-08-03
ACC-00068,CUST-02545,credit_card,2024-06-21
ACC-00069,CUST-01044,savings,2024-05-21
ACC-00070,CUST-03794,credit_card,2024-06-03
ACC-00071,CUST-01271,checking,2024-11-10
ACC-00072,CUST-02635,checking,2024-07-03
ACC-00073,CUST-01307,savings,2024-09-02
ACC-00074,CUST-01985,savings,2024-09-28
ACC-00075,CUST-00006,savings,2024-08-24
ACC-00076,CUST-00017,savings,2024-03-01
ACC-00077,CUST-04027,credit_card,2024-12-22
ACC-00078,CUST-04082,checking,2024-06-22
ACC-00079,CUST-01379,checking,2024-08-10
ACC-00080,CUST-02066,checking,2024-07-15
ACC-00081,CUST-02393,savings,2024-01-01
ACC-00082,CUST-01900,credit_card,2024-03-22
ACC-00083,CUST-01575,savings,2024-05-06
ACC-00084,CUST-00925,savings,2024-01-27
ACC-00085,CUST-01668,savings,2024-05-03
ACC-00086,CUST-00019,credit_card,2024-02-17
ACC-00087,CUST-03488,checking,2024-03-04
ACC-00088,CUST-03815,credit_card,2024-06-02
ACC-00089,CUST-01702,savings,2024-12-02
ACC-00090,CUST-02435,savings,2024-01-05
ACC-00091,CUST-01996,credit_card,2024-08-16
ACC-00092,CUST-02653,savings,2024-02-19
ACC-00093,CUST-03583,credit_card,2024-12-21
ACC-00094,CUST-01945,checking,2024-09-20
ACC-00095,CUST-04112,credit_card,2024-10-05
ACC-00096,CUST-02120,savings,2024-12-07
ACC-00097,CUST-00009,savings,2024-04-18
ACC-00098,CUST-03407,checking,2024-07-20
ACC-00099,CUST-04812,savings,2024-03-13
ACC-00100,CUST-04071,checking,2024-07-25
ACC-00101,CUST-01613,savings,2024-10-28
ACC-00102,CUST-00704,credit_card,2024-05-28
ACC-00103,CUST-03265,checking,2024-05-14
ACC-00104,CUST-02064,savings,2024-04-09
ACC-00105,CUST-01601,checking,2024-06-19
ACC-00106,CUST-02393,credit_card,2024-02-15
ACC-00107,CUST-02916,credit_card,2024-03-11
ACC-00108,CUST-03146,savings,2024-01-17
ACC-00109,CUST-01076,credit_card,2024-11-04
ACC-00110,CUST-00709,checking,2024-11-20
ACC-00111,CUST-01318,checking,2024-04-22
ACC-00112,CUST-03335,credit_card,2024-02-07
ACC-00113,CUST-01689,savings,2024-01-12
ACC-00114,CUST-04326,savings,2024-12-06
ACC-00115,CUST-03813,checking,2024-10-20
ACC-00116,CUST-00813,credit_card,2024-11-28
ACC-00117,CUST-01211,checking,2024-11-12
ACC-00118,CUST-04655,savings,2024-06-25
ACC-00119,CUST-00585,savings,2024-10-16
ACC-00120,CUST-02467,savings,2024-10-19
ACC-00121,CUST-02257,credit_card,2024-07-14
