customer_id,display_name,segment
CUST-00001,Synthetic Customer 00001,private_banking
CUST-00002,Synthetic Customer 00002,business
CUST-00003,Synthetic Customer 00003,retail
CUST-00004,Synthetic Customer 00004,business
CUST-00005,Synthetic Customer 00005,retail
CUST-00006,Synthetic Customer 00006,private_banking
CUST-00007,Synthetic Customer 00007,retail
CUST-00008,Synthetic Customer 00008,private_banking
CUST-00009,Synthetic Customer 00009,business
CUST-00010,Synthetic Customer 00010,business
CUST-00011,Synthetic Customer 00011,business
CUST-00012,Synthetic Customer 00012,business
CUST-00013,Synthetic Customer 00013,retail
CUST-00014,Synthetic Customer 00014,private_banking
CUST-00015,Synthetic Customer 00015,business
CUST-00016,Synthetic Customer 00016,private_banking
CUST-00017,Synthetic Customer 00017,retail
CUST-00018,Synthetic Customer 00018,business
CUST-00019,Synthetic Customer 00019,business
CUST-00020,Synthetic Customer 00020,retail
CUST-00021,Synthetic Customer 00021,private_banking
CUST-00022,Synthetic Customer 00022,private_banking
CUST-00023,Synthetic Customer 00023,private_banking
CUST-00024,Synthetic Customer 00024,private_banking
CUST-00025,Synthetic Customer 00025,business
CUST-00026,Synthetic Customer 00026,private_banking
CUST-00027,Synthetic Customer 00027,private_banking
CUST-00028,Synthetic Customer 00028,private_banking
CUST-00029,Synthetic Customer 00029,private_banking
CUST-00030,Synthetic Customer 00030,private_banking
CUST-00031,Synthetic Customer 00031,private_banking
CUST-00032,Synthetic Customer 00032,business
CUST-00033,Synthetic Customer 00033,business
CUST-00034,Synthetic Customer 00034,retail
CUST-00035,Synthetic Customer 00035,business
CUST-00036,Synthetic Customer 00036,private_banking
CUST-00037,Synthetic Customer 00037,retail
CUST-00038,Synthetic Customer 00038,business
CUST-00039,Synthetic Customer 00039,retail
CUST-00040,Synthetic Customer 00040,private_banking
CUST-00041,Synthetic Customer 00041,business
CUST-00042,Synthetic Customer 00042,retail
CUST-00043,Synthetic Customer 00043,business
CUST-00044,Synthetic Customer 00044,private_banking
CUST-00045,Synthetic Customer 00045,private_banking
CUST-00046,Synthetic Customer 00046,retail
CUST-00047,Synthetic Customer 00047,private_banking
CUST-00048,Synthetic Customer 00048,retail
CUST-00049,Synthetic Customer 00049,private_banking
CUST-00050,Synthetic Customer 00050,retail
CUST-00051,Synthetic Customer 00051,retail
CUST-00052,Synthetic Customer 00052,retail
CUST-00053,Synthetic Customer 00053,private_banking
CUST-00054,Synthetic Customer 00054,business
CUST-00055,Synthetic Customer 00055,retail
CUST-00056,Synthetic Customer 00056,private_banking
CUST-00057,Synthetic Customer 00057,retail
CUST-00058,Synthetic Customer 00058,private_banking
CUST-00059,Synthetic Customer 00059,business
CUST-00060,Synthetic Customer 00060,retail
CUST-00061,Synthetic Customer 00061,private_banking
CUST-00062,Synthetic Customer 00062,private_banking
CUST-00063,Synthetic Customer 00063,private_banking
CUST-00064,Synthetic Customer 00064,private_banking
CUST-00065,Synthetic Customer 00065,private_banking
CUST-00066,Synthetic Customer 00066,business
CUST-00067,Synthetic Customer 00067,private_banking
CUST-00068,Synthetic Customer 00068,private_banking
CUST-00069,Synthetic Customer 00069,retail
CUST-00070,Synthetic Customer 00070,retail
CUST-00071,Synthetic Customer 00071,private_banking
CUST-00072,Synthetic Customer 00072,business
CUST-00073,Synthetic Customer 00073,private_banking
CUST-00074,Synthetic Customer 00074,private_banking
CUST-00075,Synthetic Customer 00075,business
CUST-00076,Synthetic Customer 00076,retail
CUST-00077,Synthetic Customer 00077,retail
CUST-00078,Synthetic Customer 00078,business
CUST-00079,Synthetic Customer 00079,private_banking
CUST-00080,Synthetic Customer 00080,private_banking
CUST-00081,Synthetic Customer 00081,private_banking
CUST-00082,Synthetic Customer 00082,private_banking
CUST-00083,Synthetic Customer 00083,business
CUST-00084,Synthetic Customer 00084,business
CUST-00085,Synthetic Customer 00085,retail
CUST-00086,Synthetic Customer 00086,private_banking
CUST-00087,Synthetic Customer 00087,business
CUST-00088,Synthetic Customer 00088,business
CUST-00089,Synthetic Customer 00089,private_banking
CUST-00090,Synthetic Customer 00090,retail
CUST-00091,Synthetic Customer 00091,business
CUST-00092,Synthetic Customer 00092,retail
CUST-00093,Synthetic Customer 00093,business
CUST-00094,Synthetic Customer 00094,retail
CUST-00095,Synthetic Customer 00095,private_banking
CUST-00096,Synthetic Customer 00096,retail
CUST-00097,Synthetic Customer 00097,business
CUST-00098,Synthetic Customer 00098,retail
CUST-00099,Synthetic Customer 00099,private_banking
CUST-00100,Synthetic Customer 00100,business
CUST-00101,Synthetic Customer 00101,private_banking
CUST-00102,Synthetic Customer 00102,private_banking
CUST-00103,Synthetic Customer 00103,business
CUST-00104,Synthetic Customer 00104,private_banking
CUST-00105,Synthetic Customer 00105,private_banking
CUST-00106,Synthetic Customer 00106,private_banking
CUST-00107,Synthetic Customer 00107,business
CUST-00108,Synthetic Customer 00108,business
CUST-00109,Synthetic Customer 00109,private_banking
CUST-00110,Synthetic Customer 00110,business
CUST-00111,Synthetic Customer 00111,retail
CUST-00112,Synthetic Customer 00112,private_banking
CUST-00113,Synthetic Customer 00113,retail
CUST-00114,Synthetic Customer 00114,retail
CUST-00115,Synthetic Customer 00115,private_banking
CUST-00116,Synthetic Customer 00116,private_banking
CUST-00117,Synthetic Customer 00117,business
CUST-00118,Synthetic Customer 00118,business
CUST-00119,Synthetic Customer 00119,private_banking
CUST-00120,Synthetic Customer 00120,private_banking
CUST-00121,Synthetic Customer 00121,retail
CUST-00122,Synthetic Customer 00122,private_banking
CUST-00123,Synthetic Customer 00123,private_banking
CUST-00124,Synthetic Customer 00124,retail
CUST-00125,Synthetic Customer 00125,business
CUST-00126,Synthetic Customer 00126,business
CUST-00127,Synthetic Customer 00127,private_banking
CUST-00128,Synthetic Customer 00128,retail
CUST-00129,Synthetic Customer 00129,retail
CUST-00130,Synthetic Customer 00130,business
CUST-00131,Synthetic Customer 00131,private_banking
CUST-00132,Synthetic Customer 00132,retail
CUST-00133,Synthetic Customer 00133,private_banking
CUST-00134,Synthetic Customer 00134,retail
CUST-00135,Synthetic Customer 00135,business
CUST-00136,Synthetic Customer 00136,private_banking
CUST-00137,Synthetic Customer 00137,private_banking
CUST-00138,Synthetic Customer 00138,private_banking
CUST-00139,Synthetic Customer 00139,retail
CUST-00140,Synthetic Customer 00140,business
CUST-00141,Synthetic Customer 00141,retail
CUST-00142,Synthetic Customer 00142,private_banking
CUST-00143,Synthetic Customer 00143,retail
CUST-00144,Synthetic Customer 00144,business
CUST-00145,Synthetic Customer 00145,retail
CUST-00146,Synthetic Customer 00146,retail
CUST-00147,Synthetic Customer 00147,business
CUST-00148,Synthetic Customer 00148,retail
CUST-00149,Synthetic Customer 00149,business
CUST-00150,Synthetic Customer 00150,retail
CUST-00151,Synthetic Customer 00151,private_banking
CUST-00152,Synthetic Customer 00152,business
CUST-00153,Synthetic Customer 00153,business
CUST-00154,Synthetic Customer 00154,business
CUST-00155,Synthetic Customer 00155,retail
CUST-00156,Synthetic Customer 00156,private_banking
CUST-00157,Synthetic Customer 00157,retail
CUST-00158,Synthetic Customer 00158,private_banking
CUST-00159,Synthetic Customer 00159,private_banking
CUST-00160,Synthetic Customer 00160,private_banking
CUST-00161,Synthetic Customer 00161,retail
CUST-00162,Synthetic Customer 00162,retail
CUST-00163,Synthetic Customer 00163,business
CUST-00164,Synthetic Customer 00164,business
CUST-00165,Synthetic Customer 00165,private_banking
CUST-00166,Synthetic Customer 00166,retail
CUST-00167,Synthetic Customer 00167,business
CUST-00168,Synthetic Customer 00168,business
CUST-00169,Synthetic Customer 00169,retail
CUST-00170,Synthetic Customer 00170,private_banking
CUST-00171,Synthetic Customer 00171,retail
CUST-00172,Synthetic Customer 00172,business
CUST-00173,Synthetic Customer 00173,retail
CUST-00174,Synthetic Customer 00174,business
CUST-00175,Synthetic Customer 00175,private_banking
CUST-00176,Synthetic Customer 00176,business
CUST-00177,Synthetic Customer 00177,business
CUST-00178,Synthetic Customer 00178,retail
CUST-00179,Synthetic Customer 00179,business
CUST-00180,Synthetic Customer 00180,business
CUST-00181,Synthetic Customer 00181,business
CUST-00182,Synthetic Customer 00182,business
CUST-00183,Synthetic Customer 00183,private_banking
CUST-00184,Synthetic Customer 00184,retail
CUST-00185,Synthetic Customer 00185,private_banking
CUST-00186,Synthetic Customer 00186,business
CUST-00187,Synthetic Customer 00187,retail
CUST-00188,Synthetic Customer 00188,private_banking
CUST-00189,Synthetic Customer 00189,private_banking
CUST-00190,Synthetic Customer 00190,business
CUST-00191,Synthetic Customer 00191,private_banking
CUST-00192,Synthetic Customer 00192,private_banking
CUST-00193,Synthetic Customer 00193,business
CUST-00194,Synthetic Customer 00194,private_banking
CUST-00195,Synthetic Customer 00195,retail
CUST-00196,Synthetic Customer 00196,retail
CUST-00197,Synthetic Customer 00197,retail
CUST-00198,Synthetic Customer 00198,retail
CUST-00199,Synthetic Customer 00199,retail
CUST-00200,Synthetic Customer 00200,private_banking
CUST-00201,Synthetic Customer 00201,business
CUST-00202,Synthetic Customer 00202,private_banking
CUST-00203,Synthetic Customer 00203,retail
CUST-00204,Synthetic Customer 00204,private_banking
CUST-00205,Synthetic Customer 00205,private_banking
CUST-00206,Synthetic Customer 00206,private_banking
CUST-00207,Synthetic Customer 00207,business
CUST-00208,Synthetic Customer 00208,retail
CUST-00209,Synthetic Customer 00209,retail
