case_id,transaction_id,account_id,status,risk_score,opened_at
FC-00001,TXN-010638,ACC-06344,closed_no_fraud,0.48,2026-07-17
FC-00002,TXN-025910,ACC-01257,investigating,0.93,2026-07-23
FC-00003,TXN-029306,ACC-06844,closed_no_fraud,0.96,2026-03-26
FC-00004,TXN-011213,ACC-00186,closed_no_fraud,0.69,2026-04-17
FC-00005,TXN-042759,ACC-02825,investigating,0.62,2026-07-16
FC-00006,TXN-048697,ACC-01118,closed_no_fraud,0.82,2026-07-18
FC-00007,TXN-036606,ACC-00495,confirmed_fraud,0.56,2026-01-16
FC-00008,TXN-027034,ACC-03191,investigating,0.57,2026-06-15
FC-00009,TXN-009045,ACC-03590,open,0.49,2026-01-16
FC-00010,TXN-001162,ACC-03319,open,0.81,2026-02-17
FC-00011,TXN-001324,ACC-01072,confirmed_fraud,0.81,2026-02-25
FC-00012,TXN-032728,ACC-03833,open,0.71,2026-08-21
FC-00013,TXN-047958,ACC-03022,closed_no_fraud,0.8,2026-01-13
FC-00014,TXN-042376,ACC-00831,open,0.72,2026-08-16
FC-00015,TXN-014990,ACC-01308,investigating,0.83,2026-07-10
FC-00016,TXN-045787,ACC-06130,open,0.55,2026-02-15
FC-00017,TXN-021092,ACC-01153,open,0.49,2026-07-26
FC-00018,TXN-040371,ACC-06445,investigating,0.65,2026-01-15
FC-00019,TXN-014049,ACC-03695,investigating,0.5,2026-04-04
FC-00020,TXN-035981,ACC-02305,open,0.56,2026-01-17
FC-00021,TXN-015446,ACC-01402,confirmed_fraud,0.43,2026-05-25
FC-00022,TXN-010570,ACC-03854,open,0.49,2026-04-16
FC-00023,TXN-017759,ACC-03212,confirmed_fraud,0.78,2026-01-26
FC-00024,TXN-048767,ACC-03622,confirmed_fraud,0.61,2026-08-13
FC-00025,TXN-013550,ACC-03133,closed_no_fraud,0.61,2026-02-25
FC-00026,TXN-042656,ACC-01362,open,0.77,2026-02-11
FC-00027,TXN-007302,ACC-04928,closed_no_fraud,0.89,2026-07-09
