transaction_id,account_id,amount,currency,merchant,transaction_type,occurred_at
TXN-000001,ACC-06671,225.51,JPY,Windrift Electronics #1,transfer,2026-08-16
TXN-000002,ACC-06960,370.18,EUR,Cobalt Peak Retail #2,purchase,2026-06-06
TXN-000003,ACC-02589,279.4,EUR,Draymoor Retail #3,deposit,2026-02-22
TXN-000004,ACC-00558,84.77,JPY,Silverline Travel #4,withdrawal,2026-06-11
TXN-000005,ACC-04287,459.45,JPY,Aurelport Digital Goods #5,transfer,2026-04-08
TXN-000006,ACC-05581,13.73,JPY,Cobalt Peak Grocery #6,deposit,2026-05-19
TXN-000007,ACC-02825,405.14,USD,Marrow Vale Market #7,purchase,2026-06-02
TXN-000008,ACC-02832,84.9,EUR,Aurelport Grocery #8,withdrawal,2026-08-16
TXN-000009,ACC-04673,302.31,EUR,Marrow Vale Retail #9,purchase,2026-06-02
TXN-000010,ACC-03408,487.05,USD,Marrow Vale Electronics #10,purchase,2026-06-15
TXN-000011,ACC-03334,427.27,USD,Aurelport Grocery #11,deposit,2026-08-21
TXN-000012,ACC-00381,134.96,JPY,Northgate Market #12,withdrawal,2026-07-12
TXN-000013,ACC-03197,269.68,EUR,Marrow Vale Grocery #13,transfer,2026-01-16
TXN-000014,ACC-03875,287.59,USD,Marrow Vale Travel #14,purchase,2026-05-03
TXN-000015,ACC-03706,121.4,JPY,Marrow Vale Electronics #15,withdrawal,2026-07-06
TXN-000016,ACC-00660,243.49,EUR,Aurelport Electronics #16,withdrawal,2026-08-18
TXN-000017,ACC-00609,134.88,USD,Silverline Digital Goods #17,purchase,2026-01-06
TXN-000018,ACC-03850,312.45,EUR,Windrift Digital Goods #18,withdrawal,2026-08-22
TXN-000019,ACC-00514,183.05,EUR,Aurelport Travel #19,withdrawal,2026-04-20
TXN-000020,ACC-01842,94.2,USD,Marrow Vale Digital Goods #20,withdrawal,2026-07-27
TXN-000021,ACC-00861,86.06,EUR,Silverline Retail #21,deposit,2026-06-07
TXN-000022,ACC-02526,236.61,USD,Marrow Vale Grocery #22,purchase,2026-01-13
TXN-000023,ACC-01622,330.17,JPY,Northgate Retail #23,purchase,2026-02-25
TXN-000024,ACC-06397,163.26,EUR,Windrift Grocery #24,transfer,2026-03-11
TXN-000025,ACC-00496,77.41,USD,Draymoor Retail #25,purchase,2026-05-21
TXN-000026,ACC-04008,148.78,EUR,Northgate Digital Goods #26,deposit,2026-04-07
TXN-000027,ACC-00892,126.76,JPY,Northgate Electronics #27,purchase,2026-07-26
TXN-000028,ACC-06409,216.49,JPY,Aurelport Electronics #28,deposit,2026-07-22
TXN-000029,ACC-00276,352.16,USD,Silverline Electronics #29,withdrawal,2026-04-15
