provider_id,role
PROV-0001,Nurse Practitioner (synthetic)
PROV-0002,Specialist Consultant (synthetic)
PROV-0003,Care Coordinator (synthetic)
PROV-0004,Attending Physician (synthetic)
PROV-0005,Attending Physician (synthetic)
PROV-0006,Care Coordinator (synthetic)
PROV-0007,Care Coordinator (synthetic)
PROV-0008,Specialist Consultant (synthetic)
PROV-0009,Nurse Practitioner (synthetic)
PROV-0010,Specialist Consultant (synthetic)
PROV-0011,Attending Physician (synthetic)
PROV-0012,Specialist Consultant (synthetic)
PROV-0013,Specialist Consultant (synthetic)
PROV-0014,Attending Physician (synthetic)
PROV-0015,Specialist Consultant (synthetic)
PROV-0016,Care Coordinator (synthetic)
PROV-0017,Specialist Consultant (synthetic)
PROV-0018,Specialist Consultant (synthetic)
PROV-0019,Attending Physician (synthetic)
PROV-0020,Specialist Consultant (synthetic)
PROV-0021,Care Coordinator (synthetic)
PROV-0022,Care Coordinator (synthetic)
PROV-0023,Nurse Practitioner (synthetic)
PROV-0024,Specialist Consultant (synthetic)
PROV-0025,Specialist Consultant (synthetic)
PROV-0026,Attending Physician (synthetic)
PROV-0027,Attending Physician (synthetic)
PROV-0028,Care Coordinator (synthetic)
PROV-0029,Care Coordinator (synthetic)
PROV-0030,Nurse Practitioner (synthetic)
PROV-0031,Nurse Practitioner (synthetic)
PROV-0032,Specialist Consultant (synthetic)
PROV-0033,Attending Physician (synthetic)
PROV-0034,Nurse Practitioner (synthetic)
PROV-0035,Specialist Consultant (synthetic)
PROV-0036,Attending Physician (synthetic)
PROV-0037,Specialist Consultant (synthetic)
PROV-0038,Attending Physician (synthetic)
PROV-0039,Attending Physician (synthetic)
PROV-0040,Specialist Consultant (synthetic)
PROV-0041,Nurse Practitioner (synthetic)
PROV-0042,Specialist Consultant (synthetic)
PROV-0043,Care Coordinator (synthetic)
PROV-0044,Care Coordinator (synthetic)
PROV-0045,Attending Physician (synthetic)
PROV-0046,Attending Physician (synthetic)
PROV-0047,Nurse Practitioner (synthetic)
PROV-0048,Nurse Practitioner (synthetic)
PROV-0049,Nurse Practitioner (synthetic)
PROV-0050,Care Coordinator (synthetic)
PROV-0051,Nurse Practitioner (synthetic)
PROV-0052,Nurse Practitioner (synthetic)
PROV-0053,Nurse Practitioner (synthetic)
PROV-0054,Attending Physician (synthetic)
PROV-0055,Nurse Practitioner (synthetic)
PROV-0056,Nurse Practitioner (synthetic)
PROV-0057,Specialist Consultant (synthetic)
PROV-0058,Care Coordinator (synthetic)
PROV-0059,Attending Physician (synthetic)
PROV-0060,Specialist Consultant (synthetic)
PROV-0061,Specialist Consultant (synthetic)
PROV-0062,Specialist Consultant (synthetic)
PROV-0063,Care Coordinator (synthetic)
PROV-0064,Specialist Consultant (synthetic)
PROV-0065,Attending Physician (synthetic)
PROV-0066,Specialist Consultant (synthetic)
PROV-0067,Care Coordinator (synthetic)
PROV-0068,Nurse Practitioner (synthetic)
PROV-0069,Care Coordinator (synthetic)
PROV-0070,Nurse Practitioner (synthetic)
PROV-0071,Care Coordinator (synthetic)
PROV-0072,Attending Physician (synthetic)
PROV-0073,Care Coordinator (synthetic)
PROV-0074,Nurse Practitioner (synthetic)
PROV-0075,Care Coordinator (synthetic)
PROV-0076,Specialist Consultant (synthetic)
PROV-0077,Attending Physician (synthetic)
PROV-0078,Specialist Consultant (synthetic)
PROV-0079,Attending Physician (synthetic)
PROV-0080,Care Coordinator (synthetic)
PROV-0081,Nurse Practitioner (synthetic)
PROV-0082,Nurse Practitioner (synthetic)
PROV-0083,Specialist Consultant (synthetic)
PROV-0084,Attending Physician (synthetic)
PROV-0085,Attending Physician (synthetic)
PROV-0086,Attending Physician (synthetic)
PROV-0087,Nurse Practitioner (synthetic)
PROV-0088,Nurse Practitioner (synthetic)
PROV-0089,Attending Physician (synthetic)
PROV-0090,Attending Physician (synthetic)
PROV-0091,Care Coordinator (synthetic)
PROV-0092,Nurse Practitioner (synthetic)
PROV-0093,Specialist Consultant (synthetic)
PROV-0094,Care Coordinator (synthetic)
PROV-0095,Attending Physician (synthetic)
PROV-0096,Attending Physician (synthetic)
PROV-0097,Nurse Practitioner (synthetic)
PROV-0098,Nurse Practitioner (synthetic)
PROV-0099,Nurse Practitioner (synthetic)
PROV-0100,Specialist Consultant (synthetic)
PROV-0101,Attending Physician (synthetic)
PROV-0102,Care Coordinator (synthetic)
PROV-0103,Attending Physician (synthetic)
PROV-0104,Specialist Consultant (synthetic)
PROV-0105,Care Coordinator (synthetic)
PROV-0106,Nurse Practitioner (synthetic)
PROV-0107,Attending Physician (synthetic)
PROV-0108,Nurse Practitioner (synthetic)
PROV-0109,Nurse Practitioner (synthetic)
PROV-0110,Care Coordinator (synthetic)
PROV-0111,Attending Physician (synthetic)
PROV-0112,Specialist Consultant (synthetic)
PROV-0113,Care Coordinator (synthetic)
PROV-0114,Care Coordinator (synthetic)
PROV-0115,Nurse Practitioner (synthetic)
PROV-0116,Attending Physician (synthetic)
PROV-0117,Specialist Consultant (synthetic)
PROV-0118,Specialist Consultant (synthetic)
PROV-0119,Care Coordinator (synthetic)
PROV-0120,Attending Physician (synthetic)
PROV-0121,Attending Physician (synthetic)
PROV-0122,Specialist Consultant (synthetic)
PROV-0123,Attending Physician (synthetic)
PROV-0124,Nurse Practitioner (synthetic)
PROV-0125,Care Coordinator (synthetic)
PROV-0126,Care Coordinator (synthetic)
PROV-0127,Nurse Practitioner (synthetic)
PROV-0128,Specialist Consultant (synthetic)
PROV-0129,Attending Physician (synthetic)
PROV-0130,Specialist Consultant (synthetic)
PROV-0131,Specialist Consultant (synthetic)
PROV-0132,Attending Physician (synthetic)
PROV-0133,Care Coordinator (synthetic)
PROV-0134,Care Coordinator (synthetic)
PROV-0135,Attending Physician (synthetic)
PROV-0136,Attending Physician (synthetic)
PROV-0137,Care Coordinator (synthetic)
PROV-0138,Specialist Consultant (synthetic)
PROV-0139,Specialist Consultant (synthetic)
PROV-0140,Care Coordinator (synthetic)
PROV-0141,Attending Physician (synthetic)
PROV-0142,Attending Physician (synthetic)
PROV-0143,Care Coordinator (synthetic)
PROV-0144,Care Coordinator (synthetic)
PROV-0145,Specialist Consultant (synthetic)
PROV-0146,Care Coordinator (synthetic)
PROV-0147,Nurse Practitioner (synthetic)
PROV-0148,Care Coordinator (synthetic)
PROV-0149,Nurse Practitioner (synthetic)
PROV-0150,Care Coordinator (synthetic)
PROV-0151,Care Coordinator (synthetic)
PROV-0152,Attending Physician (synthetic)
PROV-0153,Nurse Practitioner (synthetic)
PROV-0154,Attending Physician (synthetic)
PROV-0155,Nurse Practitioner (synthetic)
PROV-0156,Care Coordinator (synthetic)
PROV-0157,Nurse Practitioner (synthetic)
PROV-0158,Care Coordinator (synthetic)
PROV-0159,Attending Physician (synthetic)
PROV-0160,Care Coordinator (synthetic)
PROV-0161,Nurse Practitioner (synthetic)
PROV-0162,Attending Physician (synthetic)
PROV-0163,Care Coordinator (synthetic)
PROV-0164,Nurse Practitioner (synthetic)
PROV-0165,Nurse Practitioner (synthetic)
PROV-0166,Care Coordinator (synthetic)
PROV-0167,Attending Physician (synthetic)
PROV-0168,Care Coordinator (synthetic)
PROV-0169,Care Coordinator (synthetic)
PROV-0170,Care Coordinator (synthetic)
PROV-0171,Specialist Consultant (synthetic)
PROV-0172,Specialist Consultant (synthetic)
PROV-0173,Care Coordinator (synthetic)
PROV-0174,Attending Physician (synthetic)
PROV-0175,Nurse Practitioner (synthetic)
PROV-0176,Attending Physician (synthetic)
PROV-0177,Attending Physician (synthetic)
PROV-0178,Attending Physician (synthetic)
PROV-0179,Care Coordinator (synthetic)
PROV-0180,Specialist Consultant (synthetic)
PROV-0181,Specialist Consultant (synthetic)
PROV-0182,Specialist Consultant (synthetic)
PROV-0183,Care Coordinator (synthetic)
PROV-0184,Nurse Practitioner (synthetic)
PROV-0185,Care Coordinator (synthetic)
PROV-0186,Specialist Consultant (synthetic)
PROV-0187,Nurse Practitioner (synthetic)
PROV-0188,Specialist Consultant (synthetic)
PROV-0189,Specialist Consultant (synthetic)
PROV-0190,Care Coordinator (synthetic)
PROV-0191,Specialist Consultant (synthetic)
PROV-0192,Care Coordinator (synthetic)
PROV-0193,Specialist Consultant (synthetic)
PROV-0194,Specialist Consultant (synthetic)
PROV-0195,Attending Physician (synthetic)
PROV-0196,Nurse Practitioner (synthetic)
