part_id,name,supplier_id,used_in_line_ids
PART-00001,Bushing 1,SUP-0570,"[""LINE-FAC-011-8"", ""LINE-FAC-018-6""]"
PART-00002,Wiring Harness 2,SUP-0206,"[""LINE-FAC-030-1"", ""LINE-FAC-030-4"", ""LINE-FAC-039-5""]"
PART-00003,Valve Body 3,SUP-0714,"[""LINE-FAC-022-1""]"
PART-00004,Bearing Assembly 4,SUP-0196,"[""LINE-FAC-032-8"", ""LINE-FAC-029-7"", ""LINE-FAC-011-3""]"
PART-00005,Housing 5,SUP-0402,"[""LINE-FAC-005-3"", ""LINE-FAC-029-4"", ""LINE-FAC-035-2""]"
PART-00006,Coupling 6,SUP-0073,"[""LINE-FAC-027-6""]"
PART-00007,Gasket 7,SUP-0203,"[""LINE-FAC-002-4"", ""LINE-FAC-039-8""]"
PART-00008,Wiring Harness 8,SUP-0035,"[""LINE-FAC-010-7"", ""LINE-FAC-002-4""]"
PART-00009,Bearing Assembly 9,SUP-0138,"[""LINE-FAC-002-3""]"
PART-00010,Coupling 10,SUP-0850,"[""LINE-FAC-005-1""]"
PART-00011,Bracket 11,SUP-0873,"[""LINE-FAC-028-3"", ""LINE-FAC-024-1""]"
PART-00012,Actuator 12,SUP-0431,"[""LINE-FAC-026-3"", ""LINE-FAC-025-4""]"
PART-00013,Wiring Harness 13,SUP-0840,"[""LINE-FAC-024-4"", ""LINE-FAC-006-3""]"
PART-00014,Wiring Harness 14,SUP-0307,"[""LINE-FAC-020-5""]"
PART-00015,Wiring Harness 15,SUP-0096,"[""LINE-FAC-001-1"", ""LINE-FAC-035-4""]"
PART-00016,Sensor Module 16,SUP-0694,"[""LINE-FAC-013-2"", ""LINE-FAC-025-5""]"
PART-00017,Housing 17,SUP-0440,"[""LINE-FAC-034-4"", ""LINE-FAC-011-7""]"
PART-00018,Coupling 18,SUP-0689,"[""LINE-FAC-002-5"", ""LINE-FAC-032-6""]"
PART-00019,Bracket 19,SUP-0169,"[""LINE-FAC-006-8"", ""LINE-FAC-037-3"", ""LINE-FAC-002-4""]"
PART-00020,Sensor Module 20,SUP-0464,"[""LINE-FAC-015-8"", ""LINE-FAC-002-4"", ""LINE-FAC-039-8""]"
PART-00021,Bushing 21,SUP-0168,"[""LINE-FAC-027-3""]"
PART-00022,Valve Body 22,SUP-0526,"[""LINE-FAC-017-8"", ""LINE-FAC-030-3"", ""LINE-FAC-036-6""]"
PART-00023,Wiring Harness 23,SUP-0727,"[""LINE-FAC-024-8"", ""LINE-FAC-039-8"", ""LINE-FAC-028-4""]"
PART-00024,Housing 24,SUP-0926,"[""LINE-FAC-033-5"", ""LINE-FAC-004-5"", ""LINE-FAC-016-5""]"
PART-00025,Bushing 25,SUP-0804,"[""LINE-FAC-006-5"", ""LINE-FAC-020-8""]"
PART-00026,Actuator 26,SUP-0374,"[""LINE-FAC-009-2"", ""LINE-FAC-031-8"", ""LINE-FAC-018-2""]"
PART-00027,Sensor Module 27,SUP-0927,"[""LINE-FAC-023-7"", ""LINE-FAC-006-2"", ""LINE-FAC-010-8""]"
PART-00028,Valve Body 28,SUP-0663,"[""LINE-FAC-021-5"", ""LINE-FAC-009-7""]"
PART-00029,Coupling 29,SUP-0088,"[""LINE-FAC-019-4""]"
PART-00030,Bracket 30,SUP-0037,"[""LINE-FAC-016-5"", ""LINE-FAC-030-7"", ""LINE-FAC-033-5""]"
PART-00031,Sensor Module 31,SUP-0280,"[""LINE-FAC-001-2"", ""LINE-FAC-026-8""]"
PART-00032,Housing 32,SUP-0022,"[""LINE-FAC-032-4"", ""LINE-FAC-039-1"", ""LINE-FAC-032-8""]"
PART-00033,Actuator 33,SUP-0772,"[""LINE-FAC-011-7"", ""LINE-FAC-009-7""]"
PART-00034,Valve Body 34,SUP-0983,"[""LINE-FAC-017-2"", ""LINE-FAC-014-2""]"
PART-00035,Bracket 35,SUP-0454,"[""LINE-FAC-019-6"", ""LINE-FAC-017-7"", ""LINE-FAC-001-1""]"
PART-00036,Sensor Module 36,SUP-0816,"[""LINE-FAC-039-3""]"
PART-00037,Sensor Module 37,SUP-0678,"[""LINE-FAC-013-3"", ""LINE-FAC-031-5"", ""LINE-FAC-020-3""]"
PART-00038,Bracket 38,SUP-0697,"[""LINE-FAC-028-2""]"
PART-00039,Bearing Assembly 39,SUP-0854,"[""LINE-FAC-040-3"", ""LINE-FAC-014-1"", ""LINE-FAC-023-7""]"
PART-00040,Coupling 40,SUP-0085,"[""LINE-FAC-005-3""]"
PART-00041,Housing 41,SUP-0436,"[""LINE-FAC-009-2""]"
PART-00042,Actuator 42,SUP-0477,"[""LINE-FAC-023-4"", ""LINE-FAC-003-5"", ""LINE-FAC-014-3""]"
PART-00043,Bearing Assembly 43,SUP-0729,"[""LINE-FAC-020-1""]"
PART-00044,Actuator 44,SUP-0018,"[""LINE-FAC-016-5""]"
PART-00045,Housing 45,SUP-0981,"[""LINE-FAC-021-6"", ""LINE-FAC-024-6""]"
PART-00046,Housing 46,SUP-0589,"[""LINE-FAC-033-8"", ""LINE-FAC-016-2""]"
PART-00047,Sensor Module 47,SUP-0892,"[""LINE-FAC-040-5"", ""LINE-FAC-033-1"", ""LINE-FAC-038-7""]"
PART-00048,Valve Body 48,SUP-0265,"[""LINE-FAC-013-5"", ""LINE-FAC-001-1""]"
PART-00049,Bushing 49,SUP-0254,"[""LINE-FAC-027-5"", ""LINE-FAC-008-1"", ""LINE-FAC-028-5""]"
PART-00050,Actuator 50,SUP-0781,"[""LINE-FAC-026-3"", ""LINE-FAC-010-3"", ""LINE-FAC-025-1""]"
PART-00051,Bushing 51,SUP-0220,"[""LINE-FAC-013-5"", ""LINE-FAC-026-4""]"
PART-00052,Valve Body 52,SUP-0867,"[""LINE-FAC-006-4"", ""LINE-FAC-036-7"", ""LINE-FAC-017-8""]"
PART-00053,Wiring Harness 53,SUP-0094,"[""LINE-FAC-028-2"", ""LINE-FAC-017-1""]"
PART-00054,Wiring Harness 54,SUP-0233,"[""LINE-FAC-013-5"", ""LINE-FAC-013-1""]"
PART-00055,Actuator 55,SUP-0577,"[""LINE-FAC-034-7"", ""LINE-FAC-005-2""]"
PART-00056,Valve Body 56,SUP-0797,"[""LINE-FAC-009-3"", ""LINE-FAC-022-8""]"
PART-00057,Sensor Module 57,SUP-0341,"[""LINE-FAC-033-3""]"
PART-00058,Bushing 58,SUP-0759,"[""LINE-FAC-008-7"", ""LINE-FAC-006-5"", ""LINE-FAC-015-4""]"
PART-00059,Valve Body 59,SUP-0998,"[""LINE-FAC-011-3"", ""LINE-FAC-001-8"", ""LINE-FAC-013-3""]"
PART-00060,Gasket 60,SUP-0699,"[""LINE-FAC-014-4""]"
PART-00061,Coupling 61,SUP-0407,"[""LINE-FAC-024-1""]"
PART-00062,Bracket 62,SUP-0784,"[""LINE-FAC-012-5"", ""LINE-FAC-030-7""]"
PART-00063,Wiring Harness 63,SUP-0577,"[""LINE-FAC-007-3"", ""LINE-FAC-010-4"", ""LINE-FAC-013-6""]"
PART-00064,Actuator 64,SUP-0582,"[""LINE-FAC-023-1"", ""LINE-FAC-005-5""]"
PART-00065,Bushing 65,SUP-0618,"[""LINE-FAC-020-3"", ""LINE-FAC-019-6""]"
PART-00066,Wiring Harness 66,SUP-0579,"[""LINE-FAC-025-5"", ""LINE-FAC-028-8""]"
PART-00067,Bushing 67,SUP-0026,"[""LINE-FAC-011-4"", ""LINE-FAC-033-3""]"
PART-00068,Coupling 68,SUP-0051,"[""LINE-FAC-017-8"", ""LINE-FAC-033-8""]"
PART-00069,Bearing Assembly 69,SUP-0406,"[""LINE-FAC-025-4"", ""LINE-FAC-001-3""]"
PART-00070,Housing 70,SUP-0131,"[""LINE-FAC-022-4"", ""LINE-FAC-005-3""]"
