line_id,factory_id,name
LINE-FAC-001-1,FAC-001,Windrift Plant 1 Line 1
LINE-FAC-001-2,FAC-001,Windrift Plant 1 Line 2
LINE-FAC-001-3,FAC-001,Windrift Plant 1 Line 3
LINE-FAC-001-4,FAC-001,Windrift Plant 1 Line 4
LINE-FAC-001-5,FAC-001,Windrift Plant 1 Line 5
LINE-FAC-001-6,FAC-001,Windrift Plant 1 Line 6
LINE-FAC-001-7,FAC-001,Windrift Plant 1 Line 7
LINE-FAC-001-8,FAC-001,Windrift Plant 1 Line 8
LINE-FAC-002-1,FAC-002,Northfell Plant 2 Line 1
LINE-FAC-002-2,FAC-002,Northfell Plant 2 Line 2
LINE-FAC-002-3,FAC-002,Northfell Plant 2 Line 3
LINE-FAC-002-4,FAC-002,Northfell Plant 2 Line 4
LINE-FAC-002-5,FAC-002,Northfell Plant 2 Line 5
LINE-FAC-002-6,FAC-002,Northfell Plant 2 Line 6
LINE-FAC-002-7,FAC-002,Northfell Plant 2 Line 7
LINE-FAC-002-8,FAC-002,Northfell Plant 2 Line 8
LINE-FAC-003-1,FAC-003,Lindmoor Plant 3 Line 1
LINE-FAC-003-2,FAC-003,Lindmoor Plant 3 Line 2
LINE-FAC-003-3,FAC-003,Lindmoor Plant 3 Line 3
LINE-FAC-003-4,FAC-003,Lindmoor Plant 3 Line 4
LINE-FAC-003-5,FAC-003,Lindmoor Plant 3 Line 5
LINE-FAC-003-6,FAC-003,Lindmoor Plant 3 Line 6
LINE-FAC-003-7,FAC-003,Lindmoor Plant 3 Line 7
LINE-FAC-003-8,FAC-003,Lindmoor Plant 3 Line 8
LINE-FAC-004-1,FAC-004,Stonebrook Junction Plant 4 Line 1
LINE-FAC-004-2,FAC-004,Stonebrook Junction Plant 4 Line 2
LINE-FAC-004-3,FAC-004,Stonebrook Junction Plant 4 Line 3
LINE-FAC-004-4,FAC-004,Stonebrook Junction Plant 4 Line 4
LINE-FAC-004-5,FAC-004,Stonebrook Junction Plant 4 Line 5
LINE-FAC-004-6,FAC-004,Stonebrook Junction Plant 4 Line 6
LINE-FAC-004-7,FAC-004,Stonebrook Junction Plant 4 Line 7
LINE-FAC-004-8,FAC-004,Stonebrook Junction Plant 4 Line 8
LINE-FAC-005-1,FAC-005,Aurelport Plant 5 Line 1
LINE-FAC-005-2,FAC-005,Aurelport Plant 5 Line 2
LINE-FAC-005-3,FAC-005,Aurelport Plant 5 Line 3
LINE-FAC-005-4,FAC-005,Aurelport Plant 5 Line 4
LINE-FAC-005-5,FAC-005,Aurelport Plant 5 Line 5
LINE-FAC-005-6,FAC-005,Aurelport Plant 5 Line 6
LINE-FAC-005-7,FAC-005,Aurelport Plant 5 Line 7
LINE-FAC-005-8,FAC-005,Aurelport Plant 5 Line 8
LINE-FAC-006-1,FAC-006,Kestrel Bay Plant 6 Line 1
LINE-FAC-006-2,FAC-006,Kestrel Bay Plant 6 Line 2
LINE-FAC-006-3,FAC-006,Kestrel Bay Plant 6 Line 3
LINE-FAC-006-4,FAC-006,Kestrel Bay Plant 6 Line 4
LINE-FAC-006-5,FAC-006,Kestrel Bay Plant 6 Line 5
LINE-FAC-006-6,FAC-006,Kestrel Bay Plant 6 Line 6
LINE-FAC-006-7,FAC-006,Kestrel Bay Plant 6 Line 7
LINE-FAC-006-8,FAC-006,Kestrel Bay Plant 6 Line 8
LINE-FAC-007-1,FAC-007,Marrow Vale Plant 7 Line 1
LINE-FAC-007-2,FAC-007,Marrow Vale Plant 7 Line 2
LINE-FAC-007-3,FAC-007,Marrow Vale Plant 7 Line 3
LINE-FAC-007-4,FAC-007,Marrow Vale Plant 7 Line 4
LINE-FAC-007-5,FAC-007,Marrow Vale Plant 7 Line 5
LINE-FAC-007-6,FAC-007,Marrow Vale Plant 7 Line 6
LINE-FAC-007-7,FAC-007,Marrow Vale Plant 7 Line 7
LINE-FAC-007-8,FAC-007,Marrow Vale Plant 7 Line 8
LINE-FAC-008-1,FAC-008,Emberfield Plant 8 Line 1
LINE-FAC-008-2,FAC-008,Emberfield Plant 8 Line 2
LINE-FAC-008-3,FAC-008,Emberfield Plant 8 Line 3
LINE-FAC-008-4,FAC-008,Emberfield Plant 8 Line 4
LINE-FAC-008-5,FAC-008,Emberfield Plant 8 Line 5
LINE-FAC-008-6,FAC-008,Emberfield Plant 8 Line 6
LINE-FAC-008-7,FAC-008,Emberfield Plant 8 Line 7
LINE-FAC-008-8,FAC-008,Emberfield Plant 8 Line 8
LINE-FAC-009-1,FAC-009,Northfell Plant 9 Line 1
LINE-FAC-009-2,FAC-009,Northfell Plant 9 Line 2
LINE-FAC-009-3,FAC-009,Northfell Plant 9 Line 3
LINE-FAC-009-4,FAC-009,Northfell Plant 9 Line 4
LINE-FAC-009-5,FAC-009,Northfell Plant 9 Line 5
LINE-FAC-009-6,FAC-009,Northfell Plant 9 Line 6
LINE-FAC-009-7,FAC-009,Northfell Plant 9 Line 7
LINE-FAC-009-8,FAC-009,Northfell Plant 9 Line 8
LINE-FAC-010-1,FAC-010,Stonebrook Junction Plant 10 Line 1
LINE-FAC-010-2,FAC-010,Stonebrook Junction Plant 10 Line 2
LINE-FAC-010-3,FAC-010,Stonebrook Junction Plant 10 Line 3
LINE-FAC-010-4,FAC-010,Stonebrook Junction Plant 10 Line 4
LINE-FAC-010-5,FAC-010,Stonebrook Junction Plant 10 Line 5
LINE-FAC-010-6,FAC-010,Stonebrook Junction Plant 10 Line 6
LINE-FAC-010-7,FAC-010,Stonebrook Junction Plant 10 Line 7
LINE-FAC-010-8,FAC-010,Stonebrook Junction Plant 10 Line 8
LINE-FAC-011-1,FAC-011,Verdant Hollow Plant 11 Line 1
LINE-FAC-011-2,FAC-011,Verdant Hollow Plant 11 Line 2
LINE-FAC-011-3,FAC-011,Verdant Hollow Plant 11 Line 3
