application_id,case_id,application_type,status,submitted_at
APP-00001,CASE-11980,renewal_application,submitted,2026-03-15
APP-00002,CASE-08141,appeal,pending_more_info,2026-05-11
APP-00003,CASE-11823,renewal_application,in_review,2026-06-23
APP-00004,CASE-07013,initial_application,in_review,2026-07-10
APP-00005,CASE-11044,initial_application,pending_more_info,2026-05-07
APP-00006,CASE-06532,appeal,denied,2026-07-27
APP-00007,CASE-05422,appeal,pending_more_info,2026-01-05
APP-00008,CASE-06225,initial_application,approved,2026-03-01
APP-00009,CASE-11777,renewal_application,submitted,2026-01-23
APP-00010,CASE-13419,initial_application,denied,2026-07-08
APP-00011,CASE-10568,appeal,approved,2026-06-21
APP-00012,CASE-10617,appeal,in_review,2026-04-08
APP-00013,CASE-10334,renewal_application,denied,2026-01-13
APP-00014,CASE-13484,renewal_application,submitted,2026-08-20
APP-00015,CASE-05427,initial_application,pending_more_info,2026-04-28
APP-00016,CASE-02389,initial_application,denied,2026-01-11
APP-00017,CASE-07651,appeal,pending_more_info,2026-06-27
APP-00018,CASE-00977,initial_application,pending_more_info,2026-05-28
APP-00019,CASE-11131,initial_application,in_review,2026-06-20
APP-00020,CASE-14123,renewal_application,denied,2026-01-21
APP-00021,CASE-09020,initial_application,pending_more_info,2026-04-18
APP-00022,CASE-01238,renewal_application,approved,2026-01-21
APP-00023,CASE-03283,renewal_application,approved,2026-01-01
APP-00024,CASE-06949,renewal_application,pending_more_info,2026-04-07
APP-00025,CASE-04502,appeal,approved,2026-05-15
APP-00026,CASE-05726,appeal,in_review,2026-05-02
APP-00027,CASE-05748,appeal,denied,2026-03-17
APP-00028,CASE-10009,initial_application,approved,2026-02-28
APP-00029,CASE-10205,renewal_application,approved,2026-01-08
APP-00030,CASE-04236,initial_application,approved,2026-05-24
APP-00031,CASE-05019,renewal_application,approved,2026-06-10
APP-00032,CASE-01981,appeal,denied,2026-08-06
APP-00033,CASE-04687,appeal,submitted,2026-04-11
APP-00034,CASE-07098,renewal_application,in_review,2026-03-13
APP-00035,CASE-00579,appeal,approved,2026-01-28
APP-00036,CASE-09868,renewal_application,in_review,2026-02-20
APP-00037,CASE-05805,appeal,approved,2026-05-06
APP-00038,CASE-03786,initial_application,denied,2026-06-10
APP-00039,CASE-04363,initial_application,denied,2026-07-21
APP-00040,CASE-09347,renewal_application,approved,2026-04-07
APP-00041,CASE-01221,appeal,approved,2026-06-16
APP-00042,CASE-10919,appeal,pending_more_info,2026-04-23
APP-00043,CASE-02990,renewal_application,in_review,2026-07-01
APP-00044,CASE-08235,appeal,pending_more_info,2026-04-08
APP-00045,CASE-11974,renewal_application,denied,2026-03-03
APP-00046,CASE-02953,initial_application,pending_more_info,2026-07-13
APP-00047,CASE-10544,renewal_application,submitted,2026-08-19
APP-00048,CASE-02844,initial_application,denied,2026-04-05
APP-00049,CASE-09948,appeal,denied,2026-04-23
APP-00050,CASE-06307,renewal_application,denied,2026-06-04
APP-00051,CASE-05526,initial_application,in_review,2026-03-09
APP-00052,CASE-04880,initial_application,approved,2026-08-08
APP-00053,CASE-10974,initial_application,in_review,2026-03-12
APP-00054,CASE-07442,initial_application,denied,2026-06-21
APP-00055,CASE-12977,initial_application,submitted,2026-04-18
APP-00056,CASE-14829,initial_application,pending_more_info,2026-01-20
APP-00057,CASE-10570,initial_application,approved,2026-02-08
APP-00058,CASE-11328,renewal_application,in_review,2026-02-05
APP-00059,CASE-09844,renewal_application,pending_more_info,2026-08-02
APP-00060,CASE-07849,appeal,pending_more_info,2026-06-10
APP-00061,CASE-06765,renewal_application,in_review,2026-06-21
APP-00062,CASE-06343,initial_application,submitted,2026-06-19
APP-00063,CASE-00455,renewal_application,in_review,2026-04-11
APP-00064,CASE-00435,appeal,denied,2026-02-24
APP-00065,CASE-14493,appeal,approved,2026-02-08
APP-00066,CASE-01898,appeal,pending_more_info,2026-07-06
APP-00067,CASE-11317,renewal_application,in_review,2026-04-09
APP-00068,CASE-00206,appeal,submitted,2026-03-01
APP-00069,CASE-06038,renewal_application,denied,2026-07-23
APP-00070,CASE-05343,renewal_application,pending_more_info,2026-03-02
APP-00071,CASE-03726,renewal_application,approved,2026-07-24
APP-00072,CASE-14721,appeal,pending_more_info,2026-08-06
APP-00073,CASE-02963,initial_application,pending_more_info,2026-04-03
APP-00074,CASE-02614,initial_application,pending_more_info,2026-01-08
APP-00075,CASE-00668,initial_application,submitted,2026-03-22
APP-00076,CASE-03757,initial_application,approved,2026-01-02
APP-00077,CASE-06992,initial_application,in_review,2026-08-19
APP-00078,CASE-10621,renewal_application,pending_more_info,2026-08-18
APP-00079,CASE-06028,appeal,submitted,2026-03-03
APP-00080,CASE-05090,renewal_application,in_review,2026-01-03
APP-00081,CASE-08541,initial_application,in_review,2026-07-04
APP-00082,CASE-02787,appeal,denied,2026-04-21
APP-00083,CASE-01072,appeal,pending_more_info,2026-02-12
APP-00084,CASE-05581,appeal,in_review,2026-04-04
APP-00085,CASE-02247,initial_application,approved,2026-08-18
APP-00086,CASE-08633,initial_application,denied,2026-01-21
APP-00087,CASE-03054,initial_application,denied,2026-07-21
APP-00088,CASE-11977,renewal_application,approved,2026-07-15
APP-00089,CASE-09931,appeal,approved,2026-01-03
APP-00090,CASE-08653,appeal,denied,2026-06-08
APP-00091,CASE-03607,initial_application,in_review,2026-05-11
APP-00092,CASE-06747,appeal,denied,2026-02-17
APP-00093,CASE-07577,renewal_application,pending_more_info,2026-01-14
APP-00094,CASE-08320,appeal,pending_more_info,2026-04-14
APP-00095,CASE-00222,initial_application,in_review,2026-05-21
APP-00096,CASE-01812,initial_application,submitted,2026-02-20
APP-00097,CASE-14125,renewal_application,denied,2026-01-06
APP-00098,CASE-10968,appeal,denied,2026-02-05
APP-00099,CASE-00777,appeal,in_review,2026-05-12
APP-00100,CASE-11441,initial_application,approved,2026-08-27
APP-00101,CASE-13121,initial_application,approved,2026-05-04
APP-00102,CASE-04952,appeal,denied,2026-01-17
APP-00103,CASE-10236,appeal,approved,2026-08-20
APP-00104,CASE-00894,renewal_application,submitted,2026-03-07
APP-00105,CASE-05413,appeal,denied,2026-03-17
APP-00106,CASE-04199,initial_application,pending_more_info,2026-02-28
APP-00107,CASE-09732,appeal,in_review,2026-03-24
APP-00108,CASE-03070,appeal,denied,2026-08-16
APP-00109,CASE-12201,renewal_application,approved,2026-06-21
APP-00110,CASE-01400,appeal,pending_more_info,2026-02-25
APP-00111,CASE-06744,renewal_application,submitted,2026-07-25
APP-00112,CASE-09277,appeal,submitted,2026-04-13
APP-00113,CASE-13343,renewal_application,approved,2026-05-09
APP-00114,CASE-12648,initial_application,submitted,2026-02-27
APP-00115,CASE-08138,appeal,approved,2026-07-21
APP-00116,CASE-11998,renewal_application,in_review,2026-03-20
APP-00117,CASE-04496,appeal,approved,2026-07-24
APP-00118,CASE-04518,appeal,pending_more_info,2026-01-14
APP-00119,CASE-07384,appeal,pending_more_info,2026-03-06
APP-00120,CASE-08210,initial_application,in_review,2026-08-09
APP-00121,CASE-01858,renewal_application,approved,2026-01-07
APP-00122,CASE-01105,renewal_application,submitted,2026-08-17
APP-00123,CASE-13592,initial_application,denied,2026-05-14
APP-00124,CASE-05487,initial_application,in_review,2026-02-06
APP-00125,CASE-06945,appeal,in_review,2026-02-15
APP-00126,CASE-05502,appeal,approved,2026-07-08
APP-00127,CASE-13159,renewal_application,pending_more_info,2026-01-19
APP-00128,CASE-06010,appeal,submitted,2026-03-10
APP-00129,CASE-00640,appeal,in_review,2026-03-14
APP-00130,CASE-13087,renewal_application,denied,2026-01-10
APP-00131,CASE-11865,renewal_application,approved,2026-06-01
APP-00132,CASE-10727,renewal_application,submitted,2026-03-27
APP-00133,CASE-03421,renewal_application,pending_more_info,2026-04-19
