case_id,citizen_id,agency_id,case_type,status,opened_at
CASE-00001,CIT-09889,AGY-024,permit_review,closed,2026-02-22
CASE-00002,CIT-02848,AGY-033,zoning_variance,pending_decision,2026-08-09
CASE-00003,CIT-02227,AGY-037,license_renewal,open,2026-07-13
CASE-00004,CIT-01990,AGY-038,zoning_variance,pending_decision,2026-08-02
CASE-00005,CIT-06804,AGY-049,benefit_application,closed,2026-03-28
CASE-00006,CIT-09548,AGY-025,permit_review,pending_decision,2026-01-18
CASE-00007,CIT-03863,AGY-049,benefit_application,under_review,2026-01-25
CASE-00008,CIT-05675,AGY-005,benefit_application,closed,2026-03-18
CASE-00009,CIT-08877,AGY-043,zoning_variance,under_review,2026-02-22
CASE-00010,CIT-05909,AGY-050,license_renewal,under_review,2026-03-28
CASE-00011,CIT-07785,AGY-034,license_renewal,pending_decision,2026-04-23
CASE-00012,CIT-08156,AGY-021,permit_review,closed,2026-02-11
CASE-00013,CIT-04044,AGY-050,benefit_application,closed,2026-01-23
CASE-00014,CIT-05462,AGY-038,zoning_variance,closed,2026-06-18
CASE-00015,CIT-04784,AGY-010,permit_review,under_review,2026-06-09
CASE-00016,CIT-08340,AGY-001,benefit_application,closed,2026-06-20
CASE-00017,CIT-00372,AGY-014,license_renewal,open,2026-04-14
CASE-00018,CIT-08696,AGY-037,permit_review,pending_decision,2026-02-18
CASE-00019,CIT-02177,AGY-026,permit_review,open,2026-06-08
CASE-00020,CIT-05149,AGY-008,license_renewal,pending_decision,2026-05-02
CASE-00021,CIT-02818,AGY-035,permit_review,open,2026-08-15
CASE-00022,CIT-02643,AGY-017,license_renewal,under_review,2026-01-12
CASE-00023,CIT-01750,AGY-020,license_renewal,closed,2026-02-12
CASE-00024,CIT-05820,AGY-021,license_renewal,open,2026-08-02
CASE-00025,CIT-06423,AGY-036,license_renewal,open,2026-02-03
CASE-00026,CIT-02057,AGY-009,license_renewal,under_review,2026-06-01
CASE-00027,CIT-01265,AGY-033,license_renewal,pending_decision,2026-03-15
CASE-00028,CIT-09190,AGY-007,license_renewal,open,2026-05-25
CASE-00029,CIT-06875,AGY-025,zoning_variance,closed,2026-05-05
CASE-00030,CIT-06362,AGY-034,zoning_variance,under_review,2026-04-24
CASE-00031,CIT-05720,AGY-013,zoning_variance,open,2026-05-28
CASE-00032,CIT-09273,AGY-050,license_renewal,pending_decision,2026-06-24
CASE-00033,CIT-08629,AGY-017,permit_review,open,2026-08-06
CASE-00034,CIT-05133,AGY-037,permit_review,open,2026-03-07
CASE-00035,CIT-02537,AGY-029,zoning_variance,closed,2026-08-02
CASE-00036,CIT-01909,AGY-003,benefit_application,under_review,2026-05-17
CASE-00037,CIT-01296,AGY-008,permit_review,under_review,2026-01-27
CASE-00038,CIT-00986,AGY-011,benefit_application,pending_decision,2026-06-17
CASE-00039,CIT-09207,AGY-019,permit_review,closed,2026-05-16
CASE-00040,CIT-03099,AGY-018,benefit_application,under_review,2026-03-25
CASE-00041,CIT-06077,AGY-027,permit_review,under_review,2026-05-16
CASE-00042,CIT-00812,AGY-031,permit_review,under_review,2026-07-15
CASE-00043,CIT-03375,AGY-046,license_renewal,closed,2026-03-02
CASE-00044,CIT-00450,AGY-034,benefit_application,pending_decision,2026-04-14
CASE-00045,CIT-01698,AGY-025,zoning_variance,pending_decision,2026-01-13
CASE-00046,CIT-04502,AGY-050,license_renewal,open,2026-04-09
CASE-00047,CIT-04694,AGY-026,license_renewal,closed,2026-03-25
CASE-00048,CIT-00680,AGY-012,benefit_application,under_review,2026-07-10
CASE-00049,CIT-07762,AGY-021,permit_review,pending_decision,2026-03-15
CASE-00050,CIT-00588,AGY-013,benefit_application,under_review,2026-07-19
CASE-00051,CIT-07993,AGY-036,zoning_variance,open,2026-07-15
CASE-00052,CIT-09618,AGY-024,zoning_variance,closed,2026-02-27
CASE-00053,CIT-09297,AGY-045,license_renewal,under_review,2026-01-12
CASE-00054,CIT-06830,AGY-017,permit_review,pending_decision,2026-05-12
CASE-00055,CIT-02950,AGY-034,permit_review,closed,2026-01-13
CASE-00056,CIT-05679,AGY-005,permit_review,open,2026-05-18
CASE-00057,CIT-08968,AGY-018,zoning_variance,open,2026-02-06
CASE-00058,CIT-05102,AGY-003,license_renewal,pending_decision,2026-02-12
CASE-00059,CIT-02974,AGY-023,benefit_application,closed,2026-07-18
CASE-00060,CIT-06103,AGY-007,permit_review,pending_decision,2026-07-25
CASE-00061,CIT-07378,AGY-049,zoning_variance,open,2026-04-07
CASE-00062,CIT-03352,AGY-007,permit_review,pending_decision,2026-04-13
CASE-00063,CIT-01740,AGY-015,zoning_variance,under_review,2026-01-20
CASE-00064,CIT-01493,AGY-007,benefit_application,pending_decision,2026-04-28
CASE-00065,CIT-08856,AGY-007,benefit_application,under_review,2026-07-23
CASE-00066,CIT-05110,AGY-034,zoning_variance,pending_decision,2026-07-09
CASE-00067,CIT-04115,AGY-030,zoning_variance,closed,2026-02-07
CASE-00068,CIT-03141,AGY-036,license_renewal,open,2026-05-06
CASE-00069,CIT-07717,AGY-001,permit_review,under_review,2026-05-13
CASE-00070,CIT-06804,AGY-015,license_renewal,under_review,2026-08-02
CASE-00071,CIT-04998,AGY-013,permit_review,open,2026-02-11
CASE-00072,CIT-07128,AGY-035,license_renewal,closed,2026-06-23
CASE-00073,CIT-07289,AGY-023,license_renewal,under_review,2026-04-05
CASE-00074,CIT-04310,AGY-013,permit_review,closed,2026-03-11
CASE-00075,CIT-06513,AGY-037,license_renewal,under_review,2026-08-26
CASE-00076,CIT-07793,AGY-015,zoning_variance,open,2026-02-07
CASE-00077,CIT-07808,AGY-037,benefit_application,pending_decision,2026-06-12
CASE-00078,CIT-01363,AGY-037,license_renewal,open,2026-02-18
CASE-00079,CIT-08941,AGY-028,zoning_variance,under_review,2026-08-11
CASE-00080,CIT-04522,AGY-030,license_renewal,under_review,2026-02-03
CASE-00081,CIT-03871,AGY-035,license_renewal,under_review,2026-08-09
CASE-00082,CIT-02902,AGY-007,license_renewal,closed,2026-04-02
CASE-00083,CIT-02392,AGY-018,benefit_application,open,2026-06-10
CASE-00084,CIT-00155,AGY-016,license_renewal,closed,2026-04-28
CASE-00085,CIT-00163,AGY-001,zoning_variance,under_review,2026-07-10
CASE-00086,CIT-09320,AGY-003,benefit_application,closed,2026-06-21
CASE-00087,CIT-01091,AGY-031,zoning_variance,under_review,2026-02-05
CASE-00088,CIT-05455,AGY-007,license_renewal,closed,2026-06-17
CASE-00089,CIT-04703,AGY-003,zoning_variance,under_review,2026-06-12
CASE-00090,CIT-02075,AGY-048,zoning_variance,closed,2026-02-15
CASE-00091,CIT-07091,AGY-019,license_renewal,pending_decision,2026-05-23
CASE-00092,CIT-08397,AGY-013,zoning_variance,closed,2026-05-23
CASE-00093,CIT-05431,AGY-044,zoning_variance,closed,2026-05-22
CASE-00094,CIT-09800,AGY-041,permit_review,under_review,2026-03-15
CASE-00095,CIT-08460,AGY-005,benefit_application,under_review,2026-02-26
CASE-00096,CIT-01045,AGY-048,benefit_application,open,2026-07-24
CASE-00097,CIT-07888,AGY-030,license_renewal,open,2026-08-09
CASE-00098,CIT-05212,AGY-026,permit_review,pending_decision,2026-06-11
CASE-00099,CIT-03043,AGY-015,benefit_application,closed,2026-08-13
CASE-00100,CIT-03815,AGY-009,permit_review,pending_decision,2026-05-20
CASE-00101,CIT-07717,AGY-005,benefit_application,open,2026-07-21
CASE-00102,CIT-04575,AGY-039,benefit_application,pending_decision,2026-04-25
CASE-00103,CIT-02416,AGY-019,zoning_variance,under_review,2026-04-23
CASE-00104,CIT-07367,AGY-043,permit_review,pending_decision,2026-04-14
CASE-00105,CIT-01000,AGY-028,license_renewal,under_review,2026-07-22
CASE-00106,CIT-02790,AGY-023,license_renewal,closed,2026-04-13
CASE-00107,CIT-08429,AGY-002,benefit_application,closed,2026-03-28
CASE-00108,CIT-00321,AGY-033,benefit_application,open,2026-03-28
