citizen_id,note
CIT-00001,Fully synthetic citizen; not a real person.
CIT-00002,Fully synthetic citizen; not a real person.
CIT-00003,Fully synthetic citizen; not a real person.
CIT-00004,Fully synthetic citizen; not a real person.
CIT-00005,Fully synthetic citizen; not a real person.
CIT-00006,Fully synthetic citizen; not a real person.
CIT-00007,Fully synthetic citizen; not a real person.
CIT-00008,Fully synthetic citizen; not a real person.
CIT-00009,Fully synthetic citizen; not a real person.
CIT-00010,Fully synthetic citizen; not a real person.
CIT-00011,Fully synthetic citizen; not a real person.
CIT-00012,Fully synthetic citizen; not a real person.
CIT-00013,Fully synthetic citizen; not a real person.
CIT-00014,Fully synthetic citizen; not a real person.
CIT-00015,Fully synthetic citizen; not a real person.
CIT-00016,Fully synthetic citizen; not a real person.
CIT-00017,Fully synthetic citizen; not a real person.
CIT-00018,Fully synthetic citizen; not a real person.
CIT-00019,Fully synthetic citizen; not a real person.
CIT-00020,Fully synthetic citizen; not a real person.
CIT-00021,Fully synthetic citizen; not a real person.
CIT-00022,Fully synthetic citizen; not a real person.
CIT-00023,Fully synthetic citizen; not a real person.
CIT-00024,Fully synthetic citizen; not a real person.
CIT-00025,Fully synthetic citizen; not a real person.
CIT-00026,Fully synthetic citizen; not a real person.
CIT-00027,Fully synthetic citizen; not a real person.
CIT-00028,Fully synthetic citizen; not a real person.
CIT-00029,Fully synthetic citizen; not a real person.
CIT-00030,Fully synthetic citizen; not a real person.
CIT-00031,Fully synthetic citizen; not a real person.
CIT-00032,Fully synthetic citizen; not a real person.
CIT-00033,Fully synthetic citizen; not a real person.
CIT-00034,Fully synthetic citizen; not a real person.
CIT-00035,Fully synthetic citizen; not a real person.
CIT-00036,Fully synthetic citizen; not a real person.
CIT-00037,Fully synthetic citizen; not a real person.
CIT-00038,Fully synthetic citizen; not a real person.
CIT-00039,Fully synthetic citizen; not a real person.
CIT-00040,Fully synthetic citizen; not a real person.
CIT-00041,Fully synthetic citizen; not a real person.
CIT-00042,Fully synthetic citizen; not a real person.
CIT-00043,Fully synthetic citizen; not a real person.
CIT-00044,Fully synthetic citizen; not a real person.
CIT-00045,Fully synthetic citizen; not a real person.
CIT-00046,Fully synthetic citizen; not a real person.
CIT-00047,Fully synthetic citizen; not a real person.
CIT-00048,Fully synthetic citizen; not a real person.
