signal_id,product_id,store_id,signal_type,trend_percent,detected_at
SIG-00001,PROD-02036,STORE-0314,seasonal,27.3,2026-08-24
SIG-00002,PROD-01008,STORE-0417,seasonal,-18.4,2026-04-03
SIG-00003,PROD-04848,STORE-0495,seasonal,2.4,2026-06-21
SIG-00004,PROD-03505,STORE-0470,seasonal,75.2,2026-01-19
SIG-00005,PROD-04411,STORE-0034,seasonal,-27.8,2026-03-26
SIG-00006,PROD-03740,STORE-0333,seasonal,24.0,2026-06-28
SIG-00007,PROD-03655,STORE-0385,spike,16.3,2026-02-20
SIG-00008,PROD-01509,STORE-0079,spike,-21.9,2026-07-28
SIG-00009,PROD-02432,STORE-0306,decline,76.5,2026-03-01
SIG-00010,PROD-03872,STORE-0475,spike,37.9,2026-07-12
SIG-00011,PROD-04992,STORE-0402,decline,74.4,2026-06-04
SIG-00012,PROD-02529,STORE-0234,spike,-10.2,2026-04-27
SIG-00013,PROD-00962,STORE-0250,decline,26.3,2026-04-10
SIG-00014,PROD-01264,STORE-0366,spike,2.4,2026-07-23
SIG-00015,PROD-02531,STORE-0405,seasonal,-23.1,2026-04-23
SIG-00016,PROD-03866,STORE-0164,spike,-9.6,2026-03-04
SIG-00017,PROD-02728,STORE-0381,spike,32.6,2026-08-13
SIG-00018,PROD-02288,STORE-0252,decline,-22.6,2026-04-16
SIG-00019,PROD-02519,STORE-0120,spike,26.3,2026-08-01
SIG-00020,PROD-04477,STORE-0297,spike,-0.2,2026-08-14
SIG-00021,PROD-02536,STORE-0132,spike,76.5,2026-08-04
SIG-00022,PROD-00023,STORE-0245,seasonal,-18.7,2026-01-18
SIG-00023,PROD-01992,STORE-0365,decline,-5.1,2026-03-07
SIG-00024,PROD-04841,STORE-0438,seasonal,53.9,2026-01-28
SIG-00025,PROD-01348,STORE-0483,spike,25.2,2026-02-08
SIG-00026,PROD-01634,STORE-0187,spike,22.6,2026-01-19
SIG-00027,PROD-01951,STORE-0479,spike,53.4,2026-01-25
SIG-00028,PROD-03499,STORE-0483,spike,-20.4,2026-05-04
SIG-00029,PROD-04035,STORE-0260,spike,3.8,2026-08-28
SIG-00030,PROD-03168,STORE-0390,seasonal,2.2,2026-07-04
SIG-00031,PROD-00981,STORE-0296,seasonal,58.7,2026-04-05
SIG-00032,PROD-04603,STORE-0442,seasonal,-10.1,2026-07-22
SIG-00033,PROD-03846,STORE-0136,seasonal,29.9,2026-03-03
SIG-00034,PROD-00845,STORE-0421,spike,42.4,2026-01-03
