inventory_id,store_id,product_id,quantity_on_hand,reorder_point
INV-00001,STORE-0314,PROD-02036,5,50
INV-00002,STORE-0263,PROD-02264,46,52
INV-00003,STORE-0329,PROD-00203,114,44
INV-00004,STORE-0446,PROD-00621,110,45
INV-00005,STORE-0013,PROD-04212,97,41
INV-00006,STORE-0044,PROD-01487,69,27
INV-00007,STORE-0365,PROD-02866,105,45
INV-00008,STORE-0351,PROD-04706,192,56
INV-00009,STORE-0413,PROD-02307,85,17
INV-00010,STORE-0446,PROD-02204,126,23
INV-00011,STORE-0102,PROD-00859,59,31
INV-00012,STORE-0459,PROD-03717,159,50
INV-00013,STORE-0402,PROD-03278,70,53
INV-00014,STORE-0012,PROD-04259,7,44
INV-00015,STORE-0229,PROD-02781,200,20
INV-00016,STORE-0058,PROD-02929,42,32
INV-00017,STORE-0023,PROD-01661,114,32
INV-00018,STORE-0135,PROD-04208,163,28
INV-00019,STORE-0344,PROD-01604,6,22
INV-00020,STORE-0069,PROD-01101,148,32
INV-00021,STORE-0134,PROD-02214,72,47
INV-00022,STORE-0165,PROD-02863,96,42
INV-00023,STORE-0100,PROD-00600,141,24
INV-00024,STORE-0182,PROD-02032,152,26
INV-00025,STORE-0283,PROD-00650,177,52
INV-00026,STORE-0299,PROD-00351,168,31
INV-00027,STORE-0479,PROD-01905,184,10
INV-00028,STORE-0217,PROD-00042,104,54
INV-00029,STORE-0033,PROD-03654,178,27
INV-00030,STORE-0190,PROD-03015,58,29
INV-00031,STORE-0170,PROD-00555,75,31
INV-00032,STORE-0263,PROD-04165,103,53
INV-00033,STORE-0384,PROD-03437,44,33
INV-00034,STORE-0005,PROD-01079,80,38
INV-00035,STORE-0399,PROD-00815,31,29
INV-00036,STORE-0028,PROD-03195,172,42
INV-00037,STORE-0365,PROD-02463,189,25
INV-00038,STORE-0318,PROD-04722,170,25
INV-00039,STORE-0448,PROD-02716,197,41
INV-00040,STORE-0237,PROD-01693,16,14
INV-00041,STORE-0219,PROD-03931,194,21
INV-00042,STORE-0013,PROD-04976,146,17
INV-00043,STORE-0170,PROD-01791,7,14
INV-00044,STORE-0404,PROD-02752,84,44
INV-00045,STORE-0308,PROD-01418,62,11
INV-00046,STORE-0449,PROD-02354,130,48
INV-00047,STORE-0332,PROD-01102,179,28
INV-00048,STORE-0441,PROD-02339,200,39
INV-00049,STORE-0376,PROD-01564,155,55
INV-00050,STORE-0239,PROD-01315,144,20
INV-00051,STORE-0480,PROD-00032,96,31
INV-00052,STORE-0404,PROD-00031,103,10
INV-00053,STORE-0385,PROD-01267,77,44
INV-00054,STORE-0427,PROD-03718,192,59
INV-00055,STORE-0047,PROD-03989,10,45
INV-00056,STORE-0017,PROD-00305,111,52
INV-00057,STORE-0032,PROD-00798,163,49
INV-00058,STORE-0461,PROD-03689,94,10
INV-00059,STORE-0446,PROD-04940,84,38
INV-00060,STORE-0001,PROD-04922,163,31
INV-00061,STORE-0479,PROD-02641,17,14
INV-00062,STORE-0110,PROD-03726,172,59
INV-00063,STORE-0373,PROD-02166,79,33
INV-00064,STORE-0326,PROD-00359,69,24
INV-00065,STORE-0070,PROD-00083,69,43
INV-00066,STORE-0440,PROD-04024,25,16
INV-00067,STORE-0281,PROD-00473,66,52
INV-00068,STORE-0187,PROD-04649,121,21
INV-00069,STORE-0432,PROD-02065,190,13
INV-00070,STORE-0176,PROD-02636,182,53
INV-00071,STORE-0064,PROD-03424,10,14
INV-00072,STORE-0413,PROD-01246,138,19
INV-00073,STORE-0007,PROD-02283,8,26
INV-00074,STORE-0129,PROD-02550,28,16
INV-00075,STORE-0068,PROD-04555,115,36
INV-00076,STORE-0029,PROD-00588,44,59
INV-00077,STORE-0134,PROD-04399,103,32
INV-00078,STORE-0009,PROD-04142,176,31
INV-00079,STORE-0042,PROD-03067,170,27
INV-00080,STORE-0212,PROD-01666,86,29
INV-00081,STORE-0047,PROD-02484,196,42
INV-00082,STORE-0264,PROD-00380,75,30
INV-00083,STORE-0403,PROD-02211,62,51
INV-00084,STORE-0387,PROD-01993,63,60
INV-00085,STORE-0140,PROD-03569,152,10
INV-00086,STORE-0274,PROD-03277,35,31
INV-00087,STORE-0384,PROD-04127,87,57
INV-00088,STORE-0322,PROD-03201,71,53
INV-00089,STORE-0272,PROD-03462,147,27
INV-00090,STORE-0467,PROD-04033,12,35
INV-00091,STORE-0294,PROD-03963,162,51
INV-00092,STORE-0029,PROD-04938,103,60
INV-00093,STORE-0075,PROD-01055,57,51
INV-00094,STORE-0486,PROD-00549,164,40
INV-00095,STORE-0157,PROD-00941,145,23
INV-00096,STORE-0217,PROD-01224,132,33
INV-00097,STORE-0385,PROD-01403,143,48
INV-00098,STORE-0015,PROD-01265,125,23
INV-00099,STORE-0274,PROD-03175,34,49
INV-00100,STORE-0163,PROD-01938,100,17
INV-00101,STORE-0388,PROD-00086,69,41
INV-00102,STORE-0063,PROD-02089,57,29
INV-00103,STORE-0037,PROD-00285,46,23
INV-00104,STORE-0499,PROD-04851,99,53
INV-00105,STORE-0271,PROD-00555,82,10
INV-00106,STORE-0230,PROD-01475,110,25
INV-00107,STORE-0419,PROD-03399,138,13
INV-00108,STORE-0242,PROD-00230,26,60
INV-00109,STORE-0148,PROD-02856,27,28
INV-00110,STORE-0468,PROD-04797,141,57
INV-00111,STORE-0349,PROD-02931,37,52
INV-00112,STORE-0259,PROD-03062,82,55
INV-00113,STORE-0008,PROD-01834,17,57
INV-00114,STORE-0258,PROD-00959,118,12
INV-00115,STORE-0238,PROD-00701,0,49
INV-00116,STORE-0473,PROD-04402,130,58
INV-00117,STORE-0119,PROD-00805,155,12
INV-00118,STORE-0403,PROD-03835,121,59
INV-00119,STORE-0464,PROD-03862,88,20
INV-00120,STORE-0071,PROD-03336,182,55
INV-00121,STORE-0466,PROD-00854,110,11
INV-00122,STORE-0102,PROD-01274,51,23
INV-00123,STORE-0018,PROD-02598,159,20
INV-00124,STORE-0188,PROD-02134,55,56
INV-00125,STORE-0103,PROD-03737,114,17
