order_id,store_id,product_id,quantity,order_date,status
ORD-00001,STORE-0176,PROD-02773,10,2026-01-09,cancelled
ORD-00002,STORE-0497,PROD-02694,8,2026-07-14,delivered
ORD-00003,STORE-0153,PROD-04375,32,2026-06-24,shipped
ORD-00004,STORE-0157,PROD-01717,35,2026-04-19,delivered
ORD-00005,STORE-0341,PROD-03237,21,2026-08-02,cancelled
ORD-00006,STORE-0012,PROD-02808,13,2026-06-18,shipped
ORD-00007,STORE-0382,PROD-00785,2,2026-08-14,pending
ORD-00008,STORE-0468,PROD-04450,13,2026-04-05,shipped
ORD-00009,STORE-0155,PROD-03151,50,2026-07-14,shipped
ORD-00010,STORE-0312,PROD-00274,45,2026-03-15,pending
ORD-00011,STORE-0165,PROD-03821,26,2026-03-08,pending
ORD-00012,STORE-0349,PROD-04263,44,2026-05-28,delivered
ORD-00013,STORE-0347,PROD-02964,29,2026-08-25,cancelled
ORD-00014,STORE-0413,PROD-03499,3,2026-04-03,cancelled
ORD-00015,STORE-0454,PROD-00216,12,2026-02-19,cancelled
ORD-00016,STORE-0035,PROD-04310,17,2026-01-09,shipped
ORD-00017,STORE-0128,PROD-01703,38,2026-07-27,pending
ORD-00018,STORE-0153,PROD-01334,11,2026-08-10,shipped
ORD-00019,STORE-0148,PROD-04312,27,2026-07-21,shipped
ORD-00020,STORE-0274,PROD-04366,4,2026-07-20,cancelled
ORD-00021,STORE-0260,PROD-02796,12,2026-07-17,pending
ORD-00022,STORE-0071,PROD-01509,31,2026-08-09,pending
ORD-00023,STORE-0052,PROD-01579,20,2026-03-18,shipped
ORD-00024,STORE-0271,PROD-01409,10,2026-03-25,delivered
ORD-00025,STORE-0147,PROD-02060,49,2026-07-07,shipped
ORD-00026,STORE-0341,PROD-01909,6,2026-01-27,delivered
ORD-00027,STORE-0222,PROD-00714,47,2026-06-25,shipped
ORD-00028,STORE-0188,PROD-02951,48,2026-03-14,delivered
ORD-00029,STORE-0484,PROD-01711,49,2026-01-07,pending
ORD-00030,STORE-0127,PROD-00345,29,2026-03-19,pending
ORD-00031,STORE-0185,PROD-03785,19,2026-06-10,delivered
ORD-00032,STORE-0457,PROD-04939,35,2026-04-05,pending
ORD-00033,STORE-0449,PROD-02871,2,2026-05-12,shipped
ORD-00034,STORE-0398,PROD-02828,26,2026-08-10,delivered
ORD-00035,STORE-0126,PROD-00619,29,2026-04-14,cancelled
ORD-00036,STORE-0116,PROD-03445,36,2026-01-05,cancelled
ORD-00037,STORE-0043,PROD-01696,45,2026-03-26,pending
ORD-00038,STORE-0188,PROD-01403,14,2026-08-08,delivered
ORD-00039,STORE-0242,PROD-02282,23,2026-05-03,shipped
ORD-00040,STORE-0197,PROD-02857,37,2026-06-04,pending
ORD-00041,STORE-0034,PROD-01336,43,2026-06-26,cancelled
ORD-00042,STORE-0469,PROD-01127,43,2026-01-23,cancelled
ORD-00043,STORE-0025,PROD-03549,17,2026-04-28,delivered
ORD-00044,STORE-0462,PROD-01163,40,2026-07-07,pending
ORD-00045,STORE-0411,PROD-03751,22,2026-06-09,pending
ORD-00046,STORE-0042,PROD-02196,40,2026-08-01,shipped
ORD-00047,STORE-0304,PROD-00240,6,2026-04-24,shipped
ORD-00048,STORE-0377,PROD-01604,44,2026-07-06,delivered
ORD-00049,STORE-0366,PROD-04883,45,2026-04-07,cancelled
ORD-00050,STORE-0455,PROD-00163,45,2026-07-21,pending
ORD-00051,STORE-0453,PROD-04483,29,2026-08-02,delivered
ORD-00052,STORE-0011,PROD-01834,19,2026-08-18,pending
ORD-00053,STORE-0202,PROD-03651,48,2026-08-23,cancelled
ORD-00054,STORE-0351,PROD-00656,31,2026-02-19,delivered
ORD-00055,STORE-0029,PROD-02853,40,2026-03-05,delivered
ORD-00056,STORE-0245,PROD-04919,13,2026-08-07,delivered
ORD-00057,STORE-0139,PROD-01563,21,2026-07-06,delivered
ORD-00058,STORE-0393,PROD-00948,3,2026-01-14,pending
ORD-00059,STORE-0340,PROD-03941,12,2026-08-24,shipped
ORD-00060,STORE-0484,PROD-02624,34,2026-07-13,cancelled
ORD-00061,STORE-0341,PROD-02858,38,2026-01-24,pending
ORD-00062,STORE-0454,PROD-03602,26,2026-04-10,delivered
ORD-00063,STORE-0292,PROD-03605,44,2026-07-16,pending
