store_id,name,region
STORE-0001,Windrift Store 1,Northfell
STORE-0002,Lindmoor Store 2,Stonebrook Junction
STORE-0003,Aurelport Store 3,Kestrel Bay
STORE-0004,Marrow Vale Store 4,Emberfield
STORE-0005,Northfell Store 5,Stonebrook Junction
STORE-0006,Verdant Hollow Store 6,Kestrel Bay
STORE-0007,Windrift Store 7,Verdant Hollow
STORE-0008,Marrow Vale Store 8,Aurelport
STORE-0009,Emberfield Store 9,Emberfield
STORE-0010,Aurelport Store 10,Windrift
STORE-0011,Marrow Vale Store 11,Marrow Vale
STORE-0012,Stonebrook Junction Store 12,Windrift
STORE-0013,Marrow Vale Store 13,Windrift
STORE-0014,Northfell Store 14,Stonebrook Junction
STORE-0015,Lindmoor Store 15,Emberfield
STORE-0016,Kestrel Bay Store 16,Emberfield
STORE-0017,Kestrel Bay Store 17,Windrift
STORE-0018,Emberfield Store 18,Lindmoor
STORE-0019,Verdant Hollow Store 19,Lindmoor
STORE-0020,Marrow Vale Store 20,Draymoor
STORE-0021,Windrift Store 21,Kestrel Bay
STORE-0022,Kestrel Bay Store 22,Lindmoor
STORE-0023,Windrift Store 23,Northfell
STORE-0024,Aurelport Store 24,Marrow Vale
STORE-0025,Draymoor Store 25,Stonebrook Junction
STORE-0026,Kestrel Bay Store 26,Marrow Vale
STORE-0027,Marrow Vale Store 27,Stonebrook Junction
STORE-0028,Kestrel Bay Store 28,Aurelport
STORE-0029,Northfell Store 29,Windrift
STORE-0030,Verdant Hollow Store 30,Draymoor
STORE-0031,Kestrel Bay Store 31,Stonebrook Junction
STORE-0032,Marrow Vale Store 32,Windrift
STORE-0033,Northfell Store 33,Northfell
STORE-0034,Draymoor Store 34,Stonebrook Junction
STORE-0035,Northfell Store 35,Marrow Vale
STORE-0036,Aurelport Store 36,Emberfield
STORE-0037,Aurelport Store 37,Northfell
STORE-0038,Draymoor Store 38,Marrow Vale
STORE-0039,Kestrel Bay Store 39,Emberfield
STORE-0040,Lindmoor Store 40,Northfell
STORE-0041,Windrift Store 41,Stonebrook Junction
STORE-0042,Marrow Vale Store 42,Stonebrook Junction
STORE-0043,Northfell Store 43,Marrow Vale
STORE-0044,Verdant Hollow Store 44,Kestrel Bay
STORE-0045,Lindmoor Store 45,Kestrel Bay
STORE-0046,Marrow Vale Store 46,Northfell
STORE-0047,Verdant Hollow Store 47,Marrow Vale
STORE-0048,Lindmoor Store 48,Marrow Vale
STORE-0049,Draymoor Store 49,Stonebrook Junction
STORE-0050,Northfell Store 50,Windrift
STORE-0051,Lindmoor Store 51,Draymoor
STORE-0052,Verdant Hollow Store 52,Windrift
STORE-0053,Lindmoor Store 53,Draymoor
STORE-0054,Emberfield Store 54,Marrow Vale
STORE-0055,Windrift Store 55,Aurelport
STORE-0056,Verdant Hollow Store 56,Aurelport
STORE-0057,Marrow Vale Store 57,Kestrel Bay
STORE-0058,Emberfield Store 58,Lindmoor
STORE-0059,Aurelport Store 59,Northfell
STORE-0060,Draymoor Store 60,Northfell
STORE-0061,Aurelport Store 61,Verdant Hollow
STORE-0062,Verdant Hollow Store 62,Verdant Hollow
STORE-0063,Lindmoor Store 63,Kestrel Bay
STORE-0064,Marrow Vale Store 64,Aurelport
STORE-0065,Aurelport Store 65,Stonebrook Junction
STORE-0066,Stonebrook Junction Store 66,Kestrel Bay
STORE-0067,Verdant Hollow Store 67,Verdant Hollow
STORE-0068,Kestrel Bay Store 68,Windrift
STORE-0069,Lindmoor Store 69,Northfell
STORE-0070,Aurelport Store 70,Verdant Hollow
STORE-0071,Marrow Vale Store 71,Northfell
STORE-0072,Stonebrook Junction Store 72,Aurelport
STORE-0073,Northfell Store 73,Northfell
STORE-0074,Northfell Store 74,Northfell
STORE-0075,Marrow Vale Store 75,Lindmoor
STORE-0076,Stonebrook Junction Store 76,Lindmoor
STORE-0077,Emberfield Store 77,Marrow Vale
STORE-0078,Northfell Store 78,Marrow Vale
STORE-0079,Lindmoor Store 79,Aurelport
STORE-0080,Aurelport Store 80,Kestrel Bay
STORE-0081,Kestrel Bay Store 81,Marrow Vale
